	EN	FR	NL	DA	ES	UK	RU	DE	KO	FI	SE
add_hash	Add hash	Ajouter un hashtag	Voeg hash toe	Tilføj hashtag	Añadir hashtag	Додати тег	Добавить тег	Hash hinzufügen	해시태그 추가	Lisää hashtag	
add_image	Add image	Ajouter une image	Voeg foto toe	Tilføj billede	Añadir imagen	Додати зображення	Прикрепить изображение	Bild hinzufügen	사진 추가	Lisää kuva	
add_link	Add link	Ajouter un lien	Voeg link toe	Tilføj link	Añadir enlace	Додати посилання	Добавить ссылку	Link hinzufügen	링크 추가		
add_location	Add location	Ajouter un lieu	Voeg locatie toe	Tilføj lokation	Añadir localización	Додати місцеположення	Добавить местоположение	Standort hinzufügen	위치 추가	Lisää paikkatieto	
add_user	Add user	Ajouter un destinataire	Voeg gebruiker toe	Tilføj bruger	Añadir usuario	Додати користувача	Добавить пользователя	Benutzer hinzufügen	사용자 추가	Lisää käyttäjä	
add_users	Add users	Ajouter des destinataires	Voeg gebruikers toe	Tilføj brugere	Añadir usuarios	Додати користувачів	Добавить пользователей	Mehrere Benutzer hinzufügen	사용자 추가	Lisää käyttäjiä	
additional	Additional	Supplémentaire	Meer	Mere	Más	Додатково	Дополнительно	Zusätzlich	기타		
additional_header	ADDITIONAL SETTINGS	PARAMETRES SUPPLEMENTAIRES	OVERIGE INSTELLINGEN	Flere indstillinger	AJUSTES ADICIONALES	ДОДАТКОВІ НАЛАШТУВАННЯ	ДОПОЛНИТЕЛЬНЫЕ НАСТРОЙКИ	ZUSÄTZLICHE EINSTELLUNGEN	추가 설정	Lisäasetukset	
additional_infos	Additional information	Informations supplémentaires	Meer informatie	Flere informationer	Más información	Додаткова інформація	Дополнительная информация	Zusätzliche Informationen 	추가 정보	Lisätietoa	
adn_login_button	Login with passport	S'authentifier avec Passport	Login met paspoort	Log ind med Passport	Entrar con pasaporte	Вхід через Passport	Вход через Passport	Mit Passport anmelden	Passport를 통해 로그인		
am_blind	I\'m blind	Je suis aveugle	Ik ben blind	Jeg er blind	Estoy ciego	Я сліпий	Я слепой	Ich bin blind	대박 크게!!	Olen sokea	
animation_cover_image_option	Cover images	Images de couverture	Cover afbeeldingen	Cover billeder	Imágenes de portada	Обкладинка	Обложка	Coverbilder	커버 사진		
animation_inline_image_option	Inline images	Images de la timeline	Inline afbeeldingen	Inline billeder	Imágenes inline	Вбудовані зображення	Встроенные изображения	eingebettete Bilder	인라인 사진		
animation_list_option	List animations	Animations de la liste	Lijst animaties	Liste animationer	Animaciones de listas	Список анімацій	Список анимаций	Listenanimationen	목록 애니메이션		
animation_options_desc	Set the animations in the app	Activer les animations dans l'application	Activeer de animaties in de app	Activér animationerne i app'en	Activa las animaciones de la app	Налаштування анімації у програмі	Настройки анимации в приложении	Stellt die Animationen in der App ein	앱에서 사용할 애니메이션을 선택하세요.		
animation_options_title	Animations	Animations	Animaties	Animationer	Animaciones	Анімація	Анимации	Animationen	애니메이션		
animation_pagination_option	Stream pages	Pages du stream	Stream pagina's	Stream sider	Páginas de streaming	Прокрутка сторінок	Прокрутка страниц	Streamseiten	글흐름 쪽나눔		
appearance	Appearance	Apparence	Uiterlijk	Udseende	Apariencia	Зовнішній вигляд	Внешний вид	Aussehen	생김새	Ulkoasu	
back	Back	Retour	Terug	Tilbage	Volver	Назад	Назад	Zurück	뒤로 가기	Takaisin	
beta_error	You have supplied either an invalid beta key, username, or have been removed from the beta list. Contact @scruffyfox for more information.	Vous avez entré une clé béta ou un identifiant invalide ou vous avez été supprimé de la beta liste. Veuillez contacter @scruffyfox pour plus d\'informations.	Je hebt ofwel een foutieve beta key of gebruikersnaam ingevoerd, of je bent verwijderd uit de beta lijst. Neem contact op met @scruffyfox voor meer informatie.	Du har enten angivet en ugyldig beta nøgle, brugernavn, eller er blevet fjernet fra beta listen. Kontakt @scruffyfox for yderligere information.	Has proporcionado una clave de beta o un usuario invalidos o bien has sido eliminado de la lista beta. Ponte en contacto con @scruffyfox para más información.	Ви вводите невірний ключ бета-версії, ім\'я користувача або були вилучені зі списку бета-користувачів. Зв\'яжіться з @scruffyfox для отримання додаткової інформації.	Вы вводите неверный ключ бета-версии, имя пользователя или вы были удалены из списка бета-пользователей. Свяжитесь с @scruffyfox для получения дополнительной информации.	Du hast entweder einen ungültigen beta key oder Benutzernamen eingegeben oder wurdest aus der Beta-Liste gestrichen. Kontaktiere @scruffyfox für weiter	베타 코드 혹은 사용자 이름이 유효하지 않거나 배타 리스트에서 삭제되었습니다. 더 자세한 정보는 @scruffyfox로 문의하세요.		
bio	Bio	Bio	Bio	Bio	Bio	Про себе	О себе	Bio	자기소개		
block	Block	Bloquer	Blokkeer	Blokér	Bloquear	Заблокувати	Заблокировать	blockieren	차단		
broadcast_message	Broadcast message	Diffuser le message	Broadcast bericht	Broadcast besked	Difundir mensaje	Трансляція повідомлень	Трансляция сообщений	Nachricht rundsenden	이 쪽지를 글흐름에도 외치기		
browser_desc	Show in-app browser for links	Afficher le navigateur interne pour les liens	Gebruik de in-app browser voor links	Vis in-app browser for links	Muestra el navegador de la app para los links	Відкривати посилання вбудованим браузером	Открывать ссылки встроенным браузером	Zeige Links im eingebauten Browser	링크를 누르면 앱 내 브라우저로 내용을 봅니다.		
browser_title	In-app web browser	Navigateur interne	In-app web browser	In-app web browser	Navegador de la app	Вбудованій браузер	Встроенный браузер	eingebauter Webbrowser	앱 내 웹 브라우저		
build_number	Build number	Build number	Build nummer	Build nummer	Número de compilación	Номер збірки	Номер сборки	Build-Nummer	빌드 번호		
cache_cleared	Cache has been cleared	Le cache a été vidé	Cache is opgeruimd	Cache er blevet ryddet	La caché se ha limpiado	Кеш очищено	Кэш очищен	Cache wurde gelöscht	캐시를 비웠습니다.		
cache_header	CACHE/REQUEST	CACHE/REQUETE	CACHE/VERZOEK	CACHE/EFTERSPØRGSEL	CACHÉ/PETICIÓN	КЕШ/ДІЇ	КЭШ/ДЕЙСТВИЯ	CACHE/REQUEST	캐시 / 요청		
camera_failed	Failed to start camera	Impossible de démarrer l\'appareil photo	Niet gelukt om camera te starten	Kunne ikke starte kamera	No se pudo iniciar la cámara	Помилка при запуску камери	Ошибка при запуске камеры	Konnte Kamera nicht starten	카메라를 초기화하지 못했습니다.		
cancel	Cancel	Annuler	Annuleren	Annullér	Cancelar	Скасувати	Отмена	Abbrechen	취소	Peruuta	
change_log_title	Change Log	Change Log	Aanpassingen Log	Change Log	Cambios de la	Список змін	Список Изменений	Letzte Änderungen	변경 내역		
changelog	Change log	Change log	Aanpassen log	Change log	Registro de cambios	Список змін	Список изменений	Letzte Änderungen	변경 내역		
channels	Channels	Chaîne	Kanalen	Kanaler	Canales	Канали	Каналы	Kanäle	채널		
channels_stream_fail	Failed to load channels	Impossible de charger les channels	Niet gelukt om kanalen te laden	Kunne ikke loade kanaler	No se pudieron cargar los canales	Помилка при завантаженні каналів	Ошибка при загрузке каналов	Konnte Kanäle nicht laden	채널을 불러오지 못했습니다.		
check_updates	Check for updates	Vérifier les mises à jour	Controleer op updates	Søg efter opdateringer	Comprobar actualizaciones	Перевірити оновлення	Проверить обновление	Auf Aktualisierungen prüfen	판올림 확인		
checking_for_updates	Checking for updates...	Vérification des mises à jour...	Controleren op updates...	Søger efter opdateringer...	Comprobando actualizaciones…	Перевіряємо оновлення...	Проверяем обновления...	Prüfe auf Aktualisierungen...	판올림이 가능한지 확인 중...		
clear_cache	Clear cache	Vider le cache	Ruim cache op	Ryd cache	Limpiar caché	Очистити кеш	Очистить кэш	Cache löschen	캐시 비우기		
clear_image_cache	Clear image cache	Vider le cache des images	Schoon foto cache op	Ryd billede cache	Limpiar caché de imágenes	Очистити кеш зображень	Очистить кэш изображений	Bildspeicher leeren	사진 캐시 비우기		
clear_images	Clear all images?	Supprimer toutes les images?	Verwijder alle foto\'s?	Vil du rydde alle billederne?	¿Eliminar todas las imágenes?	Очистити всі зображення?	Очистить все изображения?	Alle Bilder löschen?	사진 캐시를 정말로 비울까요?		
client	Client:	Client:	Client:	Klient	Cliente	Клієнт:	Клиент:	Client:	클라이언트:		
close	Close	Fermer	Sluit	Luk	Cerrar	Закрити	Закрыть	Schließen	닫기	Sulje	
confirm	Are you sure?	Êtes-vous sûr?	Weet je het zeker?	Er du sikker?	¿Estás seguro?	Ви впевнені?	Вы уверены?	Bist du sicher?	확실한가요?	Oletko varma?	
confirm_delete	Are you sure you want to delete this?	Êtes-vous sûr de vouloir supprimer ceci?	Weet je zeker dat je dit wilt verwijderen?	Er du sikker på du vil slette dette?	¿Seguro que quieres borrarlo?	Ви впевнені, що бажаєте відалити це?	Вы уверены, что хотите удалить это?	Bist du sicher, dass du das löschen möchtest?	정말로 삭제하실 건가요?		
confirm_report	Are you sure you wish to report this post?	Êtes-vous sûr de vouloir signaler ce post?	Weet je zeker dat je deze post wilt aangeven?	Er du sikker på du vil anmelde dette post?	¿Seguro que quieres notificar este post?	Ви впевнені, що хочете поскаржитися на це повідомлення?	Вы уверены, что хотите пожаловаться на это сообщение?	Möchtest du diesen Beitrag wirklich melden?	이 글을 정말로 신고하실 건가요?		
conversation	Conversation	Conversation	Conversatie	Samtale	Conversación	Обговорення	Обсуждение	Konversation	대화	Keskustelu	
copy_text	Copy post text	Copier le texte de ce post	Kopieer post tekst	Kopiér post tekst	Copiar texto del post	Скопіюваті текст повідомлення	Скопировать текст сообщения	Posttext kopieren	글 내용 복사		
copy_text_success	Post text copied to clipboard	Texte du post copié dans le presse-papier	Post tekst gekopieerd naar het klembord	Post tekst kopieret til udklipsholderen	Texto del post copiado al portapapeles	Текст повідомлення скопійовано в буфер	Текст сообщения скопирован в буфер	Posttext in die Zwischenablage kopieren	글 내용을 클립보드로 복사했습니다.		
copy_url	Copy link to clipboard	Copier le lien dans le presse-papier	Kopieer link naar klembord	Kopiér link til udklipsholderen	Copiar link al portapapeles	Скопіювати посилання	Скопировать ссылку	Link in die Zwischenablage kopieren	링크 복사하기		
copy_url_success	Link saved to clipboard	Lien sauvé dans le presse papier	Link opgeslagen op klembord	Link gemt i udklipsholderen	Link copiado al portapapeles	Посилання збережене	Ссылка сохранена	Link in die Zwischenablage gespeichert	링크를 복사했습니다.		
could_not_read_post	Could not read post	Impossible de lire le post	Kon post niet lezen	Kunne ikke hente post	No se pudo leer el post	Неможливо прочитати запис 	Невозможно прочитать запись	Konnte Beitrag nicht lesen	글을 불러오지 못했습니다.		
could_not_read_user	Could not read user	Impossible de lire l\'utilisateur	Kon gebruiker niet lezen	Kunne ikke hente bruger	No se pudo leer el usuario	Неможливо читати користувача	Невозможно читать пользователя	Konnte Benutzer nicht lesen	사용자를 불러오지 못했습니다.		
create_custom_order	Create custom order	Créer un ordre personnalisé	Maak een eigen volgorde	Opret brugerdefinieret rækkefølge	Crear pedido personalizado	Створити особистий порядок	Создать собственный порядок	Eigene Reihenfolge erstellen	임의로 순서 바꾸기		
crosspost	Crosspost	Crosspost	Crosspost	Crosspost	Post cruzado	Кросспостінг	Кросспостинг	Crosspost	크로스포스트		
currently	Currently	Actuellement	Huidig	Nuværende	Actualmente	Зараз	Сейчас	Derzeit	현재		
custom	Custom	Personnalisé	Custom	Brugerdefineret	Personalizado	Користувальницькі 	Пользовательские	Benutzerdefiniert	임의 설정		
custom_fonts_desc	Check this if you are using custom fonts	Cocher ceci si vous utilisez une police de caractères personnalisée	Vink aan als je eigen lettertypen gebruikt	Markér dette hvis du bruger brugerdefinerede skrifttyper	Marcar si se usan fuentes personalizadas	Позначте, якщо ви використовуєте нестандартні шрифти	Отметьте, если вы используете нестандартные шрифты	Hier klicken für benutzerdefinierte Schriftarten	시스템에서 기본으로 제공하지 않는 사용자 지정 글꼴을 사용한다면 선택하세요.		
custom_fonts_title	Use custom fonts	Utiliser une police de caractères personnalisée	Eigen lettertypen gebruiken	Brug brugerdefinerede skrifttyper	Usar fuentes personalizadas	Використовувати нестандартні шрифти	Использовать нестандартные шрифты	Benutzerdefinierte Schriftarten	사용자 지정 글꼴 표시		
custom_name_order	Username Settings	Paramètres de l\'identifiant	Gebruikersnaam Instellingen	Indstillinger for Brugernavn	Ajustes de nombre de usuario	Порядок відображення імені користувача	Порядок отображения имени пользователя	Benutzername einstellen	사용자 이름 표시		
dash_clock_description	See preview of latest notifications for Robin	Prévisualiser les dernières notifications de Robin	Toon een preview van de laastse notificatie van Robin	Se forhåndsvisning af seneste notifikationer for Robin	Previsualizar las úlltimas notificaciones de Robin	Попередній перегляд останніх повідомлень Robin	Предварительный просмотр последних уведомлений Robin	Zeige Vorschau der neuesten Benachrichtigungen für Robin	가장 최근의 Robin 알림을 미리 봅니다.		
dash_clock_title	Robin notifications	Notifications de Robin	Robin notificaties	Robin notifikationer	Notificaciones de Robin	Повідомлення	Уведомления	Robin-Benachrichtigungen	Robin 알림		
date	Date:	Date:	Datum:	Dato:	Fecha:	Дата:	Дата:	Datum:	날짜:		
delete	Delete	Supprimer	Verwijder	Slet	Borrar	Видалити	Удалить	Löschen	삭제	Poista	
delete_message_failure	Failed to delete message.	Erreur lors de la suppression du message.	Mislukt om bericht te verwijderen.	Sletning af besked mislykkedes.	No se pudo borrar el mensaje.	Помилка при видаленні повідомлення	Ошибка при удалении сообщения	Nachricht konnte nicht gelöscht werden.	쪽지 삭제 실패		
delete_post_failure	Failed to delete post.	Erreur lors de la suppression du post.	Mislukt om post te verwijderen.	Sletning af post mislykkedes.	No se pudo borrar el post.	Помилка при видаленні запису	Ошибка при удалении записи	Beitrag konnte nicht gelöscht werden.	글 삭제 실패		
deleting_message	Deleting message&#8230;	Suppression du message&#8230;	Verwijderen bericht&#8230;	Sletter besked&#8230;	Eliminando mensaje&#8230;	Видалення повідомлення#8230;	Удаление сообщения&#8230;	Lösche Nachricht ...	쪽지 삭제 중...		
deleting_message_title	Deleting message	Suppression du message	Verwijderen bericht	Sletter besked	Eliminando mensaje	Видалення повідомлення	Удаление сообщения	Lösche Nachricht	쪽지 삭제 중		
deleting_post	Deleting post&#8230;	Suppression du post&#8230;	Verwijderen post&#8230;	Sletter post&#8230;	Eliminando post&#8230;	Видалення запису#8230;	Удаление записи&#8230;	Lösche Post...	글 삭제 중...		
deleting_post_title	Deleting post	Suppression du post	Verijderen post	Sletter post	Eliminando post	Видалення запису	Удаление записи	Post löschen	글 삭제 중		
details	Details	Détails	Details	Detaljer	Detalles	Деталі	Детали	Details	자세한 정보		
device_id	Device id	Device id	Apparaat id	Enhed-ID	Id de dispositivo	Ідертіфікатор	Идентификатор	Geräte-ID	기기 고유번호		
direct_link	Direct link:	Lien:	Directe link:	Direkte link:	Enlace directo	Пряме посилання:	Прямая ссылка:	Direkter Link:	링크:		
discard_changes	Discard all changes?	Annuler tous les changements?	Aanpassingen terugdraaien?	Kassér alle ændringer?	¿Descartar todos los cambios?	Скасувати всі зміни?	Отменить все изменения?	Alle Änderungen verwerfen?	쓰던 내용을 그냥 버릴까요?		
display_name	Display name	Afficher le nom	Toon naam	Vist navn	Nombre a mostrar	Показувати ім\'я	Отображаемое имя 	Anzeigename	내 이름		
doesnt_follow_you	Does not follow you	Ne vous suit pas	Volgt jou niet	Følger dig ikke	No te sigue	Не читає вас	Не читает вас	Folgt dir nicht	나를 팔로우하지 않음		
donate	Donate	Faire un don	Doneer	Donér	Donar	Допомогти	Помочь	Spenden	후원!	Lahjoita	
done	Done	Ok	Klaar	Færdig	Hecho	Готово	Готово	Fertig	마침	Valmis	
download_saved	Image downloaded to %s	Image téléchargée sur %s	Foto opgeslagen in %s	Billede downloadet til %s	Imagen descargada a %s	Зображення завантажено в %s	Изображение загружено в %s	Bild heruntergeladen nach %s	사진을 \'%s\'에 내려받았습니다.		
downloading	Downloading...	Téléchargement...	Downloaden...	Downloader...	Descargando…	Завантажуємо ...	Загружаем...	Lade herunter...	내려받는 중...		
downloading_image	Downloading image	Téléchargement de l\'image	Downloading foto	Downloader billede	Descargando imagen	Завантаження зображення	Загрузка изображения	Lade Bild herunter	사진 내려받는 중		
drafts	Drafts	Brouillons	Ontwerpen	Klader	Borradores	Чернетки	Черновики	Vorlagen	임시 글		
duplicate	Duplicate	Dupliquer	Dupliceer	Dubletter	Duplicar	Дублювати	Дублировать	Verdoppeln	중복		
edit	Edit	Éditer	Bewerk	Redigér	Editar	Редагувати	Редактировать	Bearbeiten	수정		
edit_link	Edit link	Éditer le lien	Bewerk link	Redigér link	Editar enlace	Редагувати посилання	Редактировать ссылку	Link bearbeiten	링크 수정		
edit_profile	Edit Profile	Éditer le profil	Pas profiel aan	Redigér Profil	Editar perfil	Змінити профіль	Изменить профиль	Profil bearbeiten	프로필 수정		
email	Email	Email	Email	Email	Email	Електронна пошта	Электронная почта	Email	이메일	Email	
email_desc	Ability to access your account\'s email	Capacité d\'accéder aux emails de votre compte	Mogelijkheid om je account\'s email te benaderen	Mulighed for at tilgå din kontos email	Accede al email de tu cuenta	Можливість доступу до пошти вашого облікового запису	Возможность доступа к почте вашей учетной записи	Möglichkeit, auf die Email deines Accounts zuzugreifen	내 이메일 주소에 접근할 권한		
emphasis_bold	**Bold**	**Gras**	**Vet**	**Fed**	**Negrita**	**Жирный**	**Жирный**	**Fett**	**굵게**		
emphasis_italic	*Italic*	*Italique*	**Cursief**	*Kursiv*	*Cursiva*	*Курсив*	*Курсив*	*Kursiv*	*기울게*		
emphasis_options_desc	Set the post emphasis formatting	Choisissez le formatage de l\'amélioration des posts	Leg de nadruk op post opmaak	Vælg postets format fokus	Muestra los formatos de resaltado del post	Задати параметри виразного форматування повідомлень	Задать параметры выразительного форматирования сообщений	Setzt die Post Formatierung	글 강조 형식을 선택하세요.		
emphasis_options_title	Post emphasis	Amélioration des posts	Post nadruk	Post fokus	Resaltado del post	Форматований шрифт	Форматированный шрифт	Post Formatierung	글 강조		
emphasis_underline	_Underline_	_Souligné_	_Onderstreep_	_Understreget_	_Subrayado_	_Підкреслений_	_Подчеркнутый_	_Unterstrichen_	_밑줄_		
error	Error	Erreur	Fout	Fejl	Error	Помилка	Ошибка	Fehler	오류	Virhe	
failed_intent	Failed to find a suitable app to handle that request	Aucune application disponible pour répondre à cette requête	Er is geen geschikte app gevonden op het verzoek af te handelen	Lykkedes ikke at finde en egnet app til at behandle forespørgslen	No se pudo encontrar una app adecuada para procesar la solicitud	Не вийшло знайти відповідну програму для обробки даного запиту	Не получилось найти подходящее приложение для обработки данного запроса	Konnte keine passende App für diesen Vorgang finden	해당 요청을 처리 가능한 앱을 찾지 못했습니다.		
feedback	Feedback	Feedback	Feedback	Feedback	Feedback	Відгук	Отзыв	Feedback	피드백!	Palaute	
fetching_location	Fetching location&#8230;	Vérification de la géolocalisation&#8230;	Ophalen locatie&#8230;	Henter lokation&#8230;	Obteniendo localización&#8230;	Визначення місцеположення	Определение местоположения	Ermittel Position ...	위치 찾는 중...		
files	Files	Fichiers	Bestanden	Filer	Archivos	Файлы	Файлы	Dateien	파일	Tiedostot	
files_desc	Ability to retrieve a list of your saved files	Capacité de récupérer une liste de vos fichiers sauvegardés	Mogelijkheid om een lijst van je opgeslagen bestanden op te halen	Mulighed for at hente en liste over dine gemte filer	Obtiene una lista de tus archivos guardados	Можливість отримувати список ваших збережених файлів	Возможность получать список ваших сохраненных файлов	Möglichkeit, eine Liste deiner gespeicherten Dateien zu erhalten	내 계정에 저장된 파일 목록에 접근할 권한		
filters	Filters	Filtres	Filters	Filtre	Filtros	Фільтри	Фильтры	Filter	필터		
follow	Follow	S\'abonner	Volg	Følg	Seguir	Читати	Читать	Folgen	팔로우		
follow_desc	Ability to follow/unfollow/mute/block users	Capacité de s\'abonner/se désabonner/muter/bloquer des utilisateurs	Mogelijkheid om gebruikers te volgen/ontvolgen/muten/blokkeren	Mulighed for at følge/ikke følge længere/mute/blokere brugere	Sigue/deja de seguir/silencia/bloquea a usuarios	Можливість підписуватися/відписуватись/ігнорувати/блокувати користувачів	Возможность подписываться/отписываться/игнорировать/блокировать пользователей	Möglichkeit, Benutzern zu folgen / entfolgen / muten oder blocken	다른 사용자를 팔로우/팔로우 해제/뮤트/차단할 권한		
follow_failed	Failed to follow user	Erreur lors de l\'abonnement	Volgen gebruiker mislukt	Kunne ikke følge bruger	No se pudo seguir al usuario	Помилка при читанні користувача	Ошибка при чтении пользователя	Folgen fehlgeschlagen	팔로우 실패		
follow_failed_formatted	Failed to follow user \@%s	Erreur lors de l\'abonnement à \@%s	Niet gelukt om gebruiker \@%s te volgen	Kunne ikke følge bruger \@%s	No se pudo seguir al usuario \@%s	Помилка при спробі підписатися на користувача \@%s	Ошибка при попытке подписаться на пользователя \@%s	Benutzer \@%s folgen fehlgeschlagen	다음 사용자 팔로우 실패: \@%s		
follow_success	Successfully following \@%s	Vous êtes maintenant abonné à \@%s	Je volgt \@%s succesvol	Du følger nu \@%s	Ahora sigues a \@%s	Ви успішно підписалися на \@%s	Вы успешно подписались на \@%s	Folgt erfolgreich \@%s	다음 사용자 팔로우 성공: \@%s		
followers	Followers	Abonnés	Volgers	Følgere	Followers	Читачі	Читатели	Follower	팔로워		
followers_stream_fail	Failed to load followers	Erreur lors du chargement des abonnés	Niet gelukt om volgers te laden	Kunne ikke loade følgere	No se pudieron cargar los followers	Помилка при отриманні читачів	Ошибка при получении читателей	Konnte Folllower nicht laden	팔로워 목록을 불러오지 못했습니다.		
following	Following	Abonnements	Volgt	Følger	Following	Читаємі	Подписки	Folgend	팔로잉		
following_user	Following user...	Abonné à l\'utilisateur...	Volgt gebruiker...	Følger bruger...	Siguiendo al usuario…	Підписуємося на користувача...	Подписываемся на пользователя...	Folge Benutzer...	팔로우하는 중...		
followings_stream_fail	Failed to load followings	Erreur lors du chargement des abonnements	Niet gelukt om door jou gevolgden te laden	Kunne ikke loade følgninger	No se pudieron cargar los followings	Помилка при отриманні підписок	Ошибка при получении подписок	Konnte Folgende nicht laden	팔로잉 목록을 불러오지 못했습니다.		
follows_following	%s following\n%s followers	%s abonnements\n%s abonnés	%s volgend\n%s volgers	%s følger\n%s følgere	%s sigue a\n%s followers	%s читає\n%s читачів	%s читает\n%s читателей	%s Folgend\n%s Follower	팔로잉 %s명\n팔로워 %s명		
follows_you	Follows you	vous suit	Volgt jou	Følger dig	Te sigue	Читає вас	Читает вас	Folgt dir	나를 팔로우 중		
font_size	Font size	Taille de la police	Font grootte	Skriftstørrelse	Tamaño de fuente	Розмір шрифту	Размер шрифта	Schriftgröße:	글자 크기		
forward	Forward	Transférer	Vooruit	Fremad	Reenviar	Переслати	Переслать	Weiterleiten	전달		
from_gallery	From gallery	Depuis la galerie	Uit gallerij	Fra galleri	De la galería	З галереї	Из галереи	Aus der Galerie	기존 항목 선택		
general	General	Général	Algemeen	Generelt	General	Загальні	Основные	Allgemein	일반		
general_header	GENERAL	GENERAL	ALGEMEEN	GENERELT	GENERAL	ЗАГАЛЬНі	ОСНОВНЫЕ	ALLGEMEIN	일반		
global	Global	Global	Global	Global	Global	Світова стрічка	Мировая лента	Global	전체		
global_enabled	Global stream	Afficher le flux global	Global stream	Globalt stream	Stream global	Світова стрічка	Мировая лента	Globaler Stream	전체 글흐름		
global_stream_fail	Failed to load global	Erreur lors du chargement du flux global	Niet gelukt om global stream te laden	Kunne ikke loade Global stream	No se pudo cargar el global	Помилка при завантаженні світової стрічки	Ошибка при загрузке мировой ленты	Konnte globalen Chat nicht laden	전체 글흐름을 불러오지 못했습니다.		
image_cache_cleared	Image cache has been cleared	Le cache des images a été vidé	Foto cache is opgeruimd	Billede cache er blevet ryddet	La caché de imágenes ha sido limpiada	Кеш зображень був очищений	Кэш изображений был очищен	Bild-Cache wurde gelöscht	사진 캐시를 비웠습니다.		
image_download_generic_failure	Error downloading image	Erreur lors du chargement de l\'image	Fout bij downloaden foto	Kunne ikke downloade billede	No se pudo descargar la imagen	Помилка завантаження зображення	Ошибка скачивания изображения	Fehler beim Bild-Download	사진을 내려받지 못했습니다.		
image_fail_message	Image failed to load.\nTap to retry.	Erreur lors du chargement de l\'image.\nToucher pour réessayer	Foto kon niet geladen worden.\nTik om nogmaals te proberen.	Billede kunne ikke hentes.\nTap for at forsøge igen.	No se pudo cargar la imagen.\nToca para reintentarlo.	Помилка завантаження зображення.\nНатисніть для повторної спроби.	Ошибка загрузки изображения.\nНажмите для повторной попытки.	Bild konnte nicht geladen werden.\nTippen für neuen Versuch	사진을 불러오지 못했습니다.\n여기를 누르면 다시 시도합니다.		
image_not_found	Selected image was not found	L\'image sélectionnée est introuvable	Geselecteerde foto niet gevonden	Det valgte billede kunne ikke findes	No se ha encontrado la imagen seleccionada	Вибране зображення не знайдено	Выбраное изображение не найдено	Gewähltes Bild wurde nicht gefunden	선택한 사진을 찾지 못했습니다.		
